id,position,name,score,ratings,category,category,full_address,zip_code,lat,lng
63,44,Sol Azteca,4.6,59,"Mexican, Seafood","Mexican, Seafood","1360 Montgomery Hwy 128, Vestavia Hills, AL, 35216",35216,33.4261627,-86.7939687
64,43,China Garden,4.6,34,"Asian, Seafood, Noodles","Asian, Seafood, Noodles","3102 Allison-Bonnett Memorial Dr, Hueytown, AL, 35023",35023,33.4549,-86.989
65,42,Biryani Bowl,,,"Indian, Vegetarian, Asian","Indian, Vegetarian, Asian","22 Green Springs Highway, Homewood, AL, 35209",35209,33.474182,-86.826475
66,41,Makarios Kabobs &amp; Grill,4.9,37,"Mediterranean, Greek, Vegetarian","Mediterranean, Greek, Vegetarian","940 20th St South, Birmingham, AL, 35205",35205,33.50253,-86.79778
67,39,Egg roll express,4.2,50,"Asian, Chicken, Chinese","Asian, Chicken, Chinese","100 Bessemer Super Hwy, Birmingham, AL, 35228",35228,33.46308,-86.91145
68,40,Los Arcos Mexican Restaurant,4.3,100,"Mexican, Salads, Tacos","Mexican, Salads, Tacos","7001 Crestwood Blvd, Birmingham, AL, 35210",35210,33.52812,-86.72866
69,38,New China Town,4.3,100,"Chinese, Asian, Asian Fusion","Chinese, Asian, Asian Fusion","1020 20th St S, Birmingham, AL, 35205",35205,33.5011135,-86.7969805
70,35,Fuji Hibachi Express ,4.8,52,"Japanese, Chinese, Asian","Japanese, Chinese, Asian","790 Montgomery Hwy, Vestavia Hills, AL, 35216",35216,33.444622,-86.792775
71,34,Sitar,4.3,100,"Indian, Vegetarian, Asian, Healthy","Indian, Vegetarian, Asian, Healthy","1801 4th Ave S, 115, Birmingham, AL, 35233",35233,33.50724,-86.8037743
72,32,Red Sea Ethiopian and Mediterranean,4.5,31,"Mediterranean, Greek, Vegetarian","Mediterranean, Greek, Vegetarian","22 Green Springs Highway, Birmingham, AL, 35209",35209,33.47422,-86.82647
73,28,Rice Bowl,4.3,19,"Asian, Chinese, Comfort Food","Asian, Chinese, Comfort Food","2808 7th Avenue South, Birmingham, AL, 35233",35233,33.51169,-86.78845
74,26,Karams Restaurant,4.4,30,"Mediterranean, Desserts, Salads","Mediterranean, Desserts, Salads","715 18th St N, Birmingham, AL, 35203-2207",35203-2207,33.51961,-86.81257
75,19,The Purple Onion Deli &amp; Grill (Green Springs Hwy),4.6,100,"Mediterranean, Greek, Vegetarian","Mediterranean, Greek, Vegetarian","479 Green Springs Hwy, Birmingham, AL, 35209",35209,33.46236,-86.81865
76,10,Rock N Roll Sushi (UAB/Downtown),4.6,100,"Asian Fusion, Seafood, Salads","Asian Fusion, Seafood, Salads","420 Richard Arrington Junior Boulevard South, Birmingham, AL, 35233",35233,33.5091,-86.80037
77,8,New China (2142 Tyler Rd),4.6,34,"Chinese, Soup, Seafood","Chinese, Soup, Seafood","2142 Tyler Rd, Birmingham, AL, 35226",35226,33.41647,-86.84451
78,7,The Baisakhi Dhaba,,,"Indian, Vegetarian, Asian","Indian, Vegetarian, Asian","1801 4th Avenue South, Ste 115, Birmingham, AL, 35233",35233,33.50761,-86.80482
79,5,The Vegan Bowl,,,"Vegetarian, Vegan, Healthy","Vegetarian, Vegan, Healthy","1801 4th Avenue South, Ste 115, Birmingham, AL, 35233",35233,33.50761,-86.80482
80,4,Vegans Vessel,,,"Indian, Vegetarian, Salads","Indian, Vegetarian, Salads","1801 4th Avenue South, Ste 115, Birmingham, AL, 35233",35233,33.50761,-86.80482
81,3,Cafe Gunpowder,,,"Indian, Vegetarian, Asian","Indian, Vegetarian, Asian","1801 4th Avenue South, Ste 115, Birmingham, AL, 35233",35233,33.50761,-86.80482
82,161,Shrimp Basket (Gardendale),,,"Seafood, American, Southern","Seafood, American, Southern","550 Fieldstown Rd, Gardendale, AL, 35071",35071,33.6527092,-86.8200246
83,160,River Fish Market,,,"Seafood, American, Drinks","Seafood, American, Drinks","1928 Vanderbilt Rd, Birmingham, AL, 35234",35234,33.54945,-86.7901
84,159,Fried Green Tomato's,,,"Soul Food, American, Southern","Soul Food, American, Southern","1615 Montgomery Hwy, 132, Birmingham, AL, 35216",35216,33.3984,-86.80491
85,158,The Grill at Iron City,,,"Burgers, American, Sandwiches, Comfort Food, Southern","Burgers, American, Sandwiches, Comfort Food, Southern","2208 6th Avenue South, Birmingham, AL, 35233",35233,33.5089462,-86.7977206
86,157,SOCU Southern Kitchen + Oyster Bar Birmingham,,,"Seafood, American, Southern","Seafood, American, Southern","1821 2nd Avenue North, Birmingham, AL, 35203",35203,33.51416,-86.80798
87,156,Cajun Bistro Downtown,4,30,"Seafood, American, Southern","Seafood, American, Southern","1905 Park Place, Birmingham, AL, 35203",35203,33.51918,-86.81036
88,155,Bobby Carl's Table ,,,"American, Southern, Comfort Food","American, Southern, Comfort Food","2031 Cahaba Rd, Mountain Brook, AL, 35223",35223,33.4946629,-86.7812689
